image_name,zero_shot_specificity,zero_shot_plausibility,zero_shot_grounding,cot_specificity,cot_plausibility,cot_grounding,few_shot_specificity,few_shot_plausibility,few_shot_grounding,attention_grounded_specificity,attention_grounded_plausibility,attention_grounded_grounding
0a33f56fefae4346d34d.jpg,3,4,2,4,5,5,3,4,2,4,5,3
519265ddccececa7d2ea.jpg,3,4,2,4,5,3,2,4,3,4,5,4
8a6c822693b001aa3f6e.jpg,3,4,2,4,5,4,2,3,1,4,5,4
f88041a5c8ab57e9d0b9.jpg,3,4,3,4,5,5,4,5,5,4,5,5
35413037a9b2b48bc381.jpg,3,4,2,3,4,2,3,4,2,4,5,3
b93d55ec4513b24b5788.jpg,3,4,2,2,4,2,2,4,3,4,5,4
a220a478799ecb886b96.jpg,3,4,2,4,5,5,2,4,1,4,5,5
aabd21d1cc22d53a8535.jpg,3,4,2,4,5,3,3,4,4,4,5,4
0518c39897ffcd0c53c5.jpg,4,5,4,4,5,3,3,4,3,4,5,4
9347d537ff8d7d436d40.jpg,3,4,2,3,4,2,3,4,3,4,5,5
130a2bc6429f21fd90ae.jpg,4,5,3,4,5,4,3,4,2,4,5,4
c157750fef797596f3be.jpg,4,5,3,4,5,3,4,5,4,4,5,4
192ebb1de6d8ba197d19.jpg,4,5,4,4,5,4,4,5,3,4,5,4
23c9bbef28328eabd239.jpg,3,4,2,4,5,4,3,4,2,4,5,4
9a702bc8a590526b7d5b.jpg,3,4,2,3,4,2,4,5,4,4,5,5
8de4d3be161fce6b0aa4.jpg,3,4,3,4,5,3,4,5,3,4,5,4
264ac67025be134a6c1a.jpg,3,4,2,4,5,4,4,4,2,4,5,5
bae8c9579831909a3e97.jpg,4,5,3,4,5,3,2,1,1,4,5,4
007b01d4ab114f50ed23.jpg,4,5,4,4,5,4,2,3,1,4,5,4
42ca1a6b1fefdf05cfa9.jpg,3,4,2,4,5,4,4,5,4,4,5,5
e3cd040c0124c883f046.jpg,4,5,4,4,5,4,3,2,3,4,5,4
9e938e2f70ae5279e734.jpg,3,4,2,4,5,4,3,4,2,4,5,4
a094091f4e38bdf8cc54.jpg,3,4,2,3,4,2,4,5,3,4,5,4
b9741c7b611b438d469f.jpg,4,5,4,4,5,3,3,4,3,4,5,4
2b71a3ca0c83bf3aff75.jpg,3,4,3,3,4,2,2,1,1,3,4,3
865912e5153e4f99bf73.jpg,3,4,2,4,5,4,2,4,1,4,5,4
2c6762aa5d931e230296.jpg,3,4,2,3,4,3,2,4,3,4,4,4
5d48d297bf350fe7256c.jpg,4,5,3,3,4,2,3,4,2,4,5,5
4609ff4972998afc4b45.jpg,3,4,2,3,4,2,3,4,3,4,5,4
8f024015dd39d8bde482.jpg,4,5,3,4,5,3,4,5,3,4,5,4
b4adc04a59c47894591a.jpg,3,4,2,4,5,3,4,5,3,4,5,4
7f3f8e08eef4873c2e80.jpg,4,5,3,4,5,3,4,5,4,4,5,3
67cd760b137df15307f9.jpg,4,5,4,3,4,2,4,5,4,4,5,5
07365e5de8e09416f80c.jpg,3,4,2,4,5,4,3,4,2,4,5,4
95fb6d38b496d989ea91.jpg,3,4,2,4,5,4,2,3,1,4,5,5
b1c6fa94e98cb5bb8cab.jpg,4,5,4,4,5,4,2,4,1,4,5,4
22ddc7732bb028e370ec.jpg,2,3,1,4,5,4,3,4,2,4,5,4
0767154910a7ec39e9f6.jpg,3,4,2,4,5,3,3,4,2,4,5,5
e4818c99b6d193412041.jpg,4,5,4,4,5,4,2,3,1,4,4,3
28855dd05bb093ce107b.jpg,4,5,4,3,4,3,2,4,3,4,5,5
0a009fe651c0e77d6d91.jpg,4,5,5,4,5,3,4,5,4,4,5,4
581b06700b3915d11677.jpg,4,5,3,4,5,3,2,3,1,4,5,4
56619f17eb6532d96903.jpg,4,5,4,4,5,4,3,4,2,4,4,4
0f82e0f280068f5b89d1.jpg,4,5,3,4,5,3,3,4,2,4,5,4
ac548e91e4f19df150ec.jpg,3,4,2,4,5,4,3,4,2,4,5,4
ed5ded60c950fcd175b9.jpg,4,5,3,3,4,3,3,5,5,4,5,4
755dda0b0ab28201cf10.jpg,3,4,2,4,5,4,2,4,1,4,5,5
7d271bdfd80e9b56dbd8.jpg,3,4,2,4,5,3,4,5,5,4,4,4
86084e6135f26d6f8a9d.jpg,4,5,3,4,5,3,4,5,4,4,5,4
a82d4d1ccc52b7d796e2.jpg,3,4,2,4,5,4,2,4,1,4,5,5
f70001673c2726e93d26.jpg,4,5,3,3,4,2,3,4,2,4,5,4
7063c781dd1592f3b9f6.jpg,4,5,4,3,4,2,2,1,1,4,5,4
ee610c26dbaf379ead17.jpg,3,4,2,3,4,2,4,5,4,4,5,4
b00dd3788a39ae8a6746.jpg,4,5,3,4,5,3,4,5,3,4,4,4
a778f789c22990217e68.jpg,4,5,3,4,5,4,4,5,3,4,5,4
597ebc410dbf7fb907b1.jpg,4,5,4,4,5,3,2,3,1,4,5,4
d3aaf863bcd2c4335baf.jpg,3,4,2,3,4,2,2,4,3,4,5,4
b5403472901b66727c11.jpg,4,5,4,4,5,4,4,5,4,4,5,4
ca8bccc1d026c709062a.jpg,3,4,2,4,5,3,4,5,3,4,5,4
3488a4f4bbbf1d73c6b6.jpg,3,4,2,4,5,4,2,4,1,4,5,4
62c387c4bd359d06b4e0.jpg,4,5,4,4,5,3,2,3,1,4,5,4
cdf48517405e49fe71f2.jpg,3,4,2,4,5,3,3,4,2,4,4,4
52fff9a450d4f556604b.jpg,4,5,3,4,5,4,4,5,3,4,5,5
0686843f1707e900ebc2.jpg,4,5,4,4,5,4,2,4,3,4,5,4
fa6a67212a2a4906fdb8.jpg,3,4,2,4,5,3,4,5,3,3,4,3
6073f628b7bfc97403f5.jpg,4,5,4,4,5,4,3,4,2,4,5,4
693f933a5201384efa3a.jpg,3,4,2,4,5,4,2,4,1,4,4,4
9e86f07eb520f22a879c.jpg,3,4,2,4,5,3,4,5,4,4,5,4
2b218373235df89c053f.jpg,3,4,2,3,4,2,4,5,4,4,5,4
b06e8bc1a78c1d8d60fc.jpg,3,4,2,4,5,3,3,4,2,3,4,3
ae8e07643a91f55ddd8f.jpg,4,5,4,4,5,3,2,4,1,4,5,5
f00f98af1c08f6a87aa4.jpg,3,4,2,4,5,4,3,4,2,4,5,4
22e934cb0489d6263b3a.jpg,3,4,2,4,5,4,3,4,2,4,5,4
a74a3a50513527877d83.jpg,4,5,3,4,5,4,3,4,2,4,5,5
76af2752445bd596e1f9.jpg,3,4,2,4,5,4,3,4,2,4,5,4
41b7a863089b7ecb2813.jpg,3,4,2,3,4,3,3,4,2,4,5,4
80d18b131b82cddbb12a.jpg,4,5,4,4,5,4,2,4,1,4,5,4
f6a9c1612d4e13958383.jpg,3,4,3,4,5,4,3,4,2,4,4,3
cbe6988f3091150f6ed9.jpg,4,5,4,4,5,4,2,4,3,4,5,4
34967ea81139dde14295.jpg,3,4,2,4,5,4,3,4,3,4,5,4
7d7154f1fbb62c9449f6.jpg,3,4,2,4,5,3,3,4,4,4,5,5
619b92850c1562a3709f.jpg,3,4,2,3,4,2,2,3,1,3,4,3
3374ca636cee36305503.jpg,3,4,2,4,5,4,2,4,3,4,5,4
f7390da114bd10dd63aa.jpg,3,4,2,4,5,3,4,5,4,4,5,4
1c750fa60c9246863326.jpg,3,4,2,3,4,2,2,3,1,4,4,4
1e9f0e6378ae3269bd56.jpg,3,4,2,3,4,2,4,5,4,4,5,4
52d90da8e9736b7b9608.jpg,3,4,2,4,5,3,3,4,2,4,5,4
1ab02685f4b8a0905a55.jpg,3,4,2,3,4,3,2,4,1,4,5,5
ae2beab78c56d92bc533.jpg,4,5,5,4,5,3,2,4,1,4,5,4
b46f41778b8545afa07c.jpg,3,4,3,4,5,4,4,5,3,4,5,4
5a21003f3417a0586044.jpg,3,4,2,4,5,4,4,5,4,4,5,5
881d0c9f582e83ce0f20.jpg,4,5,4,4,5,4,3,4,2,4,5,5
1e5e1c5ca3124d121d80.jpg,3,4,2,3,4,2,3,4,2,3,4,3
e5648ad7c2931c73eb5f.jpg,3,4,2,4,5,4,2,3,1,4,5,4
4764f9c8ac0cfbf22f52.jpg,4,5,4,4,5,4,4,5,4,4,5,4
9c64334879b07ab52f23.jpg,4,5,4,4,5,3,3,2,1,4,5,4
fff0cbc9ea945cabcf6c.jpg,3,4,2,3,4,2,3,4,2,4,5,4
9c15989df4caa65c0c77.jpg,4,5,4,4,5,4,3,4,2,4,5,4
92231ba10f7b4141536a.jpg,4,5,4,4,5,4,2,4,1,3,4,3
fec81729890ce1d6c8ea.jpg,3,4,3,3,4,2,2,4,3,4,5,4
